Surname,First Names,Gender,Age,Boarded,Survived,Class
Pacey,Mr. Reginald Ivan,Male,17,Southampton,V,Crew
Peracchio,Mr. Sebastiano,Male,17,Southampton,V,Crew
Aks,Mrs Leah,Female,18,Southampton,S,3
Arnold-Franchi,Mrs Josefine,Female,18,Southampton,V,3
Astor,Mrs Madeleine Talmage,Female,18,Cherbourg,S,1
Badman,Miss Emily Louisa,Female,18,Southampton,S,3
Barbara,Miss Saiide,Female,18,Cherbourg,V,3
Brown,Miss Amelia Mary,Female,18,Southampton,S,2
Caram,Mrs Maria Elias,Female,18,Cherbourg,V,3
Doling,Miss Elsie,Female,18,Southampton,V,2
Hegarty,Miss Hanora,Female,18,Queenstown,V,3
Hiltunen,Miss Marta,Female,18,Southampton,V,2
Ibrāhīm,Mrs Sāfiyah,Female,18,Cherbourg,S,3
Marvin,Mrs Mary Graham Carmichael,Female,18,Southampton,S,1
Mullin,Miss Mary (Lennon),Female,18,Queenstown,V,3
Murphy,Miss Catherine,Female,18,Queenstown,S,3
Nilsson,Miss Berta Olivia,Female,18,Southampton,S,3
Pettersson,Miss Elin Natalia,Female,18,Southampton,V,3
Riordan,Miss Hannah,Female,18,Queenstown,S,3
Ryerson,Miss Emily Borie,Female,18,Cherbourg,S,1
Sjöblom,Miss Anna Sofia,Female,18,Southampton,S,3
Smith,Mrs Mary Eloise,Female,18,Cherbourg,S,1
Taussig,Miss Ruth,Female,18,Southampton,S,1
Turja,Miss Anna Sofia,Female,18,Southampton,S,3
Vanderplancke,Miss Augusta Maria,Female,18,Southampton,V,3
Al-Munà,Mr Far īd Husayn Qāsim,Male,18,Cherbourg,V,3
Björklund,Mr Ernst Herbert,Male,18,Southampton,V,3
Cacic,Mr Jego Grga,Male,18,Southampton,V,3
Cohen,Mr Gurshon,Male,18,Southampton,S,3
Deacon,Mr Percy William,Male,18,Southampton,V,2
Dibden,Mr William,Male,18,Southampton,V,2
Dorking,Mr Edward Arthur,Male,18,Southampton,S,3
Edvardsson,Mr Gustaf Hjalmar,Male,18,Southampton,V,3
Fahlstrøm,Mr Arne Joma,Male,18,Southampton,V,2
Fillbrook,Mr Joseph Charles,Male,18,Southampton,V,2
Fischer,Mr Eberhard Thelander,Male,18,Southampton,V,3
Ford,Mr Edward Watson,Male,18,Southampton,V,3
Hanna,Mr Boulos,Male,18,Cherbourg,V,3
Klasén,Mr Klas Albin,Male,18,Southampton,V,3
Māmā,Mr Hannā Mikā’ īl,Male,18,Cherbourg,S,3
Marvin,Mr Daniel Warner,Male,18,Southampton,V,1
Myhrman,Mr Pehr Fabian Oliver Malkolm,Male,18,Southampton,V,3
Rogers,Mr Reginald Harry,Male,18,Southampton,V,2
Rosblom,Mr Viktor Richard,Male,18,Southampton,V,3
Sadlier,Mr Matthew,Male,18,Queenstown,V,3
Sage,Mr Douglas Bullen,Male,18,Southampton,V,3
Wiklund,Mr Jakob Alfred,Male,18,Southampton,V,3
Willey,Mr Edward John,Male,18,Southampton,V,3
Ervine,Mr. Albert George,Male,18,Belfast,V,Crew
King,Mr. Alfred,Male,18,Southampton,V,Crew
Burgess,Mr. Charles Reginald,Male,18,Southampton,S,Crew
Harris,Mr. Edward,Male,18,Southampton,V,Crew
Vine,Mr. H.,Male,18,Southampton,V,Crew
Finch,Mr. Harry,Male,18,Southampton,V,Crew
Lee,Mr. Henry,Male,18,Southampton,V,Crew
Parsons,Mr. Richard,Male,18,Southampton,V,Crew
Daniels,Mr. Sidney Edward,Male,18,Southampton,S,Crew
Whiteley,Mr. Thomas,Male,18,Southampton,S,Crew
Platt,Mr. W.,Male,18,Belfast,V,Crew
Andersen-Jensen,Miss Carla Christine Nielsine,Female,19,Southampton,S,3
Bentham,Miss Lillian W.,Female,19,Southampton,S,2
Bishop,Mrs Helen,Female,19,Cherbourg,S,1
Devaney,Miss Margaret Delia,Female,19,Queenstown,S,3
Glynn,Miss Mary Agatha,Female,19,Queenstown,S,3
Graham,Miss Margaret Edith,Female,19,Southampton,S,1
Jabbur (Zabour),Miss Thamine,Female,19,Cherbourg,V,3
Maioni,Miss Roberta Elizabeth Mary,Female,19,Southampton,S,1
McNamee,Mrs Eileen,Female,19,Southampton,V,3
Nakid,Mrs Waika,Female,19,Cherbourg,S,3
Newsom,Miss Helen Monypeny,Female,19,Southampton,S,1
Phillips,Miss Kate Florence,Female,19,Southampton,S,2
Alhomäki,Mr Ilmari Rudolf,Male,19,Southampton,V,3
Burke,Mr Jeremiah,Male,19,Queenstown,V,3
Carbines,Mr William,Male,19,Southampton,V,2
Cor,Mr Liudevit,Male,19,Southampton,V,3
Crease,Mr Ernest James,Male,19,Southampton,V,3
Dakic,Mr Branko,Male,19,Southampton,V,3
Davies,Mr Charles Henry,Male,19,Southampton,V,2
Foley,Mr Joseph,Male,19,Queenstown,V,3
Fortune,Mr Charles Alexander,Male,19,Southampton,V,1
Gaskell,Mr William Alfred,Male,19,Southampton,V,2
Gustafsson,Mr Alfred Ossian,Male,19,Southampton,V,3
Gustafsson,Mr Karl Gideon,Male,19,Southampton,V,3
Hagland,Mr Konrad Mathias Reiersen,Male,19,Southampton,V,3
Hampe,Mr Léon Jérome,Male,19,Southampton,V,3
Johnson,Mr William Cahoone Jr.,Male,19,Southampton,V,3
Katavelos,Mr Vasilios G.,Male,19,Cherbourg,V,3
Kelly,Mr James,Male,19,Southampton,V,3
Lockyer,Mr Edward Thomas,Male,19,Southampton,V,3
McCormack,Mr Thomas Joseph,Male,19,Queenstown,V,3
McEvoy,Mr Michael,Male,19,Queenstown,V,3
McMahon,Mr Martin,Male,19,Queenstown,V,3
Mellors,Mr William John,Male,19,Southampton,S,2
Moore,Mr Leonard Charles,Male,19,Southampton,V,3
Nicholls,Mr Joseph Charles,Male,19,Southampton,V,2
Patchett,Mr George,Male,19,Southampton,V,3
Pengelly,Mr Frederick William,Male,19,Southampton,V,2
Petroff,Mr Nedialco,Male,19,Southampton,V,3
Reed,Mr James George,Male,19,Southampton,V,3
Sage,Mr George John,Male,19,Southampton,V,3
Saundercock,Mr William Henry,Male,19,Southampton,V,3
Shedid,Mr Daher,Male,19,Cherbourg,V,3
Søholt,Mr Peter Andreas Lauritz Andersen,Male,19,Southampton,V,3
Stoytcheff,Mr Ilia,Male,19,Southampton,V,3
Swane,Mr George,Male,19,Southampton,V,2
Watson,Mr Ennis Hastings,Male,19,Belfast,V,2
Barker,Mr. Albert Vale,Male,19,Southampton,V,Crew
Andrews,Mr. Charles Edward,Male,19,Southampton,S,Crew
Harris,Mr. Charles William,Male,19,Southampton,V,Crew
Perry,Mr. Edgar Lionel,Male,19,Southampton,S,Crew
Wrapson,Mr. Frederick B.,Male,19,Southampton,V,Crew
Roberton,Mr. George Edward,Male,19,Southampton,V,Crew
Dean,Mr. George H.,Male,19,Southampton,V,Crew
Pachera,Mr. Jean Baptiste Stanislas,Male,19,Southampton,V,Crew
Longmuir,Mr. John Dickson,Male,19,Southampton,V,Crew
Mitchell,Mr. Lawrence (Lorenzo),Male,19,Southampton,V,Crew
Hyland,Mr. Leo James,Male,19,Southampton,S,Crew
Cornaire,Mr. Marcel Raymond André,Male,19,Southampton,V,Crew
Ball,Mr. Percy,Male,19,Southampton,S,Crew
Villvarlange,Mr. Pierre Léon Gabriel,Male,19,Southampton,V,Crew
Binstead,Mr. Walter,Male,19,Southampton,S,Crew
Beere,Mr. William,Male,19,Southampton,V,Crew
Dashwood,Mr. William George,Male,19,Southampton,V,Crew
Braf,Miss Elin Ester Maria,Female,20,Southampton,V,3
Bryhl,Miss Dagmar Jenny Ingeborg,Female,20,Southampton,S,2
Ford,Miss Dollina Margaret,Female,20,Southampton,V,3
Hocking,Miss Ellen,Female,20,Southampton,S,2
Jussila,Miss Katriina,Female,20,Southampton,V,3
Kelly,Miss Anna Katherine,Female,20,Queenstown,S,3
Khalil,Mrs Zahie,Female,20,Cherbourg,V,3
Mahon,Miss Bridget Delia,Female,20,Queenstown,V,3
Oreskovic,Miss Marija,Female,20,Southampton,V,3
Sage,Miss Stella Anne,Female,20,Southampton,V,3
Shine,Miss Ellen,Female,20,Queenstown,V,3
Sincock,Miss Maude,Female,20,Southampton,S,2
Abrahamsson,Mr Abraham August Johannes,Male,20,Southampton,S,3
Andreasson,Mr Pål Edvin,Male,20,Southampton,V,3
Beavan,Mr William Thomas,Male,20,Southampton,V,3
Bricoux,Mr Roger Marie,Male,20,Southampton,V,2
Charters,Mr David,Male,20,Queenstown,V,3
Coelho,Mr Domingos Fernandeo,Male,20,Southampton,V,3
Cotterill,Mr Henry,Male,20,Southampton,V,2
Foley,Mr William,Male,20,Queenstown,V,3
Giles,Mr Frederick Edward,Male,20,Southampton,V,2
Hickman,Mr Stanley George,Male,20,Southampton,V,2
Ivanoff,Mr Kanio,Male,20,Southampton,V,3
Jensen,Mr Hans Peder,Male,20,Southampton,V,3
Lennon,Mr Denis,Male,20,Queenstown,V,3
Lindqvist,Mr Eino William,Male,20,Southampton,S,3
Lovell,Mr John Hall,Male,20,Southampton,V,3
Mackay,Mr George William,Male,20,Southampton,V,3
Nakid,Mr Sahid,Male,20,Cherbourg,S,3
Nasr ‘Almā,Mr Mustafà,Male,20,Cherbourg,V,3
Nassr Rizq,Mr Saade,Male,20,Cherbourg,V,3
Nofal,Mr Mansouer,Male,20,Cherbourg,V,3
Nourney,Mr Alfred,Male,20,Cherbourg,S,1
Olsvigen,Mr Thor Anderson,Male,20,Southampton,V,3
Oreskovic,Mr Luka,Male,20,Southampton,V,3
Rafūl-Būlus,Mr Bākhūs,Male,20,Cherbourg,V,3
Sirota,Mr Morris,Male,20,Southampton,V,3
Slocovski,Mr Selman Francis,Male,20,Southampton,V,3
Sunderland,Mr Victor Francis,Male,20,Southampton,S,3
Tobin,Mr Roger,Male,20,Queenstown,V,3
Torfa,Mr Assad,Male,20,Cherbourg,V,3
Vendel,Mr Olof Edvin,Male,20,Southampton,V,3
Martin,"Miss Margaret Edwina ""Mabel""",Female,20,Southampton,S,Crew
Hebb,Mr. A.,Male,20,Southampton,S,Crew
Harding,Mr. A.,Male,20,Southampton,V,Crew
Mattmann,Mr. Adolf,Male,20,Southampton,V,Crew
Peracchio,Mr. Alberto,Male,20,Southampton,V,Crew
Perotti,Mr. Alfonso,Male,20,Southampton,V,Crew
Burrage,Mr. Alfred,Male,20,Southampton,S,Crew
Pugh,Mr. Alfred,Male,20,Southampton,S,Crew
Terrell,Mr. Bertram,Male,20,Southampton,V,Crew
Cecil,Mr. C.,Male,20,Southampton,V,Crew
Ingram,Mr. Charles,Male,20,Southampton,V,Crew
Shillaber,Mr. Charles,Male,20,Southampton,V,Crew
Smith,Mr. F,Male,20,Southampton,V,Crew
Sheath,Mr. Frederick,Male,20,Southampton,S,Crew
King,Mr. G.,Male,20,Southampton,V,Crew
De Marsico,Mr. Giovanni,Male,20,Southampton,V,Crew
Stocker,Mr. Henry Dorey,Male,20,Southampton,V,Crew
Billow,Mr. J.,Male,20,Southampton,V,Crew
Marriott,Mr. J.W.,Male,20,Southampton,V,Crew
Monrós,Mr. Joan Xavier,Male,20,Southampton,V,Crew
Read,Mr. Joseph,Male,20,Southampton,V,Crew
Dornier,Mr. Louis Auguste,Male,20,Southampton,V,Crew
Desvernine,Mr. Louis Gabriel,Male,20,Southampton,V,Crew
Desvernine,Mr. Louis Gabriel,Male,20,Southampton,V,Crew
Zanetti,Mr. Minio,Male,20,Southampton,V,Crew
Ahier,Mr. Percy Snowden,Male,20,Southampton,V,Crew
Jones,Mr. Reginald V.,Male,20,Southampton,V,Crew
Holloway,Mr. Sidney,Male,20,Southampton,V,Crew
Mullen,Mr. Thomas A.,Male,20,Southampton,V,Crew
Preston,Mr. Thomas Charles Alfred,Male,20,Southampton,V,Crew
Fredricks,Mr. Walter Francis,Male,20,Southampton,S,Crew
Bunnell,Mr. Wilfred,Male,20,Belfast,V,Crew
Ings,Mr. William Ernest,Male,20,Southampton,V,Crew
Bricoux,Roger Marie,Male,20,Southampton,V,Crew
Cacic,Miss Manda,Female,21,Southampton,V,3
Donohoe,Miss Bridget,Female,21,Queenstown,V,3
Harder,Mrs Dorothy,Female,21,Cherbourg,S,1
Harknett,Miss Alice Phoebe,Female,21,Southampton,V,3
Henry,Miss Bridget Delia,Female,21,Queenstown,V,3
Jussila,Miss Mari Aina,Female,21,Southampton,V,3
Longley,Miss Gretchen Fiske,Female,21,Cherbourg,S,1
Madigan,Miss Margaret,Female,21,Queenstown,S,3
Mullin,Miss Catherine,Female,21,Queenstown,S,3
Naughton,Miss Hannah,Female,21,Queenstown,V,3
O’Sullivan,Miss Bridget Mary,Female,21,Queenstown,V,3
Phillips,Miss Alice Frances Louisa,Female,21,Southampton,S,2
Rugg,Miss Emily,Female,21,Southampton,S,2
Ryerson,Miss Susan Parker “Suzette”,Female,21,Cherbourg,S,1
Salkjelsvik,Miss Anna Kristine,Female,21,Southampton,S,3
Willard,Miss Constance,Female,21,Southampton,S,1
Birkeland,Mr Hans Martin Monsen,Male,21,Southampton,V,3
Buckley,Mr Daniel,Male,21,Queenstown,S,3
Butrus-Ka’W ī,Mr Tannūs,Male,21,Cherbourg,V,3
Campbell,Mr William Henry,Male,21,Belfast,V,2
Canavan,Mr Patrick,Male,21,Queenstown,V,3
Cann,Mr Ernest,Male,21,Southampton,V,3
Chronopoulos,Mr Dimitrios M.,Male,21,Cherbourg,V,3
Cunningham,Mr Alfred Fleming,Male,21,Belfast,V,2
Davies,Mr John,Male,21,Southampton,V,3
Enander,Mr Ingvar,Male,21,Southampton,V,2
Garfirth,Mr John,Male,21,Southampton,V,3
Gerios Thamah,Mr Assaf,Male,21,Cherbourg,V,3
Giles,Mr Edgar,Male,21,Southampton,V,2
Hansen,Mr Henry Damsgaard,Male,21,Southampton,V,3
Hood,Mr Ambrose Jr,Male,21,Southampton,V,2
Hume,Mr John Law,Male,21,Southampton,V,2
Jansson,Mr Carl Olof,Male,21,Southampton,S,3
Jardim,Mr José Neto,Male,21,Southampton,V,3
Kalvik,Mr Johannes Halvorsen,Male,21,Southampton,V,3
Karlsson,Mr Einar Gervasius,Male,21,Southampton,S,3
Linehan,Mr Michael,Male,21,Queenstown,V,3
Midtsjø,Mr Karl Albert,Male,21,Southampton,S,3
Minkoff,Mr Lazar,Male,21,Southampton,V,3
Nilsson,Mr August Ferdinand,Male,21,Southampton,V,3
Nosworthy,Mr Richard Cater,Male,21,Southampton,V,3
O’Brien,Mr Denis,Male,21,Queenstown,V,3
O’Keefe,Mr Patrick,Male,21,Queenstown,S,3
Parkes,Mr Francis,Male,21,Belfast,V,2
Pasic,Mr Jakob,Male,21,Southampton,V,3
Pekoniemi,Mr Edvard,Male,21,Southampton,V,3
Reynolds,Mr Harold,Male,21,Southampton,V,3
Sap,Mr Julius,Male,21,Southampton,S,3
Schmidt,Mr Augustus,Male,21,Southampton,V,2
Sivola,Mr Antti Wilhelm,Male,21,Southampton,V,3
Stanley,Mr Edward Roland,Male,21,Southampton,V,3
Vovk,Mr Janko,Male,21,Southampton,V,3
White,Mr Richard Frasar,Male,21,Southampton,V,1
Wiklund,Mr Karl Johan,Male,21,Southampton,V,3
Williams,Mr Richard Norris II,Male,21,Cherbourg,S,1
Windeløv,Mr Einar,Male,21,Southampton,V,3
Hume,John Law,Male,21,Southampton,V,Crew
Pedrini,Mr. Alessandro,Male,21,Southampton,V,Crew
Cunningham,Mr. Alfred Fleming,Male,21,Belfast,V,Crew
Vicat,Mr. Alphonse Jean Eugene,Male,21,Southampton,V,Crew
McMicken,Mr. Benjamin Tucker,Male,21,Belfast,V,Crew
Lacey,Mr. Bert W.,Male,21,Southampton,V,Crew
Noss,Mr. Bertram Arthur,Male,21,Southampton,V,Crew
Biggs,Mr. Edward Charles,Male,21,Southampton,V,Crew
Ratti,Mr. Enrico,Male,21,Southampton,V,Crew
Abbott,Mr. Ernest Owen,Male,21,Southampton,V,Crew
Blann,Mr. Eustace Horatius,Male,21,Southampton,V,Crew
